Game,Basic,BASS,DISCO,LSH,RAM,Random,Const,Perturb,Eval set
atari:Asterix,862.3,859.8,754.6,987.3,943,288.1,650,337.8,TRAIN
atari:Beam Rider,929.4,872.7,563,793.6,729.8,434.7,996,754.8,TRAIN
atari:Freeway,11.3,16.4,12.8,15.4,19.1,0,21,22.5,TRAIN
atari:Seaquest,579,664.8,421.9,508.5,593.7,107.9,160,451.1,TRAIN
atari:Space Invaders,203.6,250.1,239.1,222.2,226.5,156.1,245,270.5,TRAIN
atari:Alien,939.2,893.4,623.6,510.2,726.4,102,140,313.9,TEST
atari:Amidar,64.9,103.4,67.9,45.1,71.4,0.8,31,37.8,TEST
atari:Assault,465.8,378.4,371.7,628,383.6,334.3,357,497.8,TEST
atari:Asteroids,829.7,800.3,744.5,590.7,907.3,1526.7,140,539.9,TEST
atari:Atlantis,62687,25375,20857.3,17593.9,19932.7,33058.4,1500,12089.1,TEST
atari:Bank Heist,98.8,71.1,51.4,64.6,190.8,15,0,13.5,TEST
atari:Battle Zone,15534.3,12750.8,0,14548.1,15819.7,2920,13000,5772,TEST
atari:Berzerk,329.2,491.3,329,441,501.3,233.8,670,552.9,TEST
atari:Bowling,28.5,43.9,35.2,26.1,29.3,24.6,30,30,TEST
atari:Boxing,-2.8,15.5,12.4,10.5,44,-1.5,-25,-10.1,TEST
atari:Breakout,3.3,5.2,3.9,2.5,4,1.5,3,2.9,TEST
atari:Carnival,2323.9,1574.2,1646.3,1147.2,765.4,869.2,0,485.4,TEST
atari:Centipede,7725.5,8803.8,6210.6,6161.6,7555.4,2805.1,16527,8937.2,TEST
atari:Chopper Command,1191.4,1581.5,1349,943,1397.8,698.2,1000,973.7,TEST
atari:Crazy Climber,6303.1,7455.6,4552.9,20453.7,23410.6,2335.4,0,2235,TEST
atari:Demon Attack,520.5,318.5,208.8,355.8,324.8,289.3,130,776.2,TEST
atari:Double Dunk,-15.8,-13.1,-23.2,-21.6,-20.3,-15.6,0,-20.3,TEST
atari:Elevator Action,3025.2,2377.6,4.6,3220.6,507.9,1040.9,0,562.9,TEST
atari:Enduro,111.8,129.1,0,95.8,112.3,0,9,25.9,TEST
atari:Fishing Derby,-92.6,-92.1,-89.5,-93.2,-91.6,-93.8,-99,-97.2,TEST
atari:Frostbite,161,161.1,176.6,216.9,147.9,70.3,160,175.2,TEST
atari:Gopher,545.8,1288.3,295.7,941.8,722.5,243.7,0,286.8,TEST
atari:Gravitar,185.3,251.1,197.4,105.9,387.7,205.4,0,106,TEST
atari:H.E.R.O.,6053.1,6458.8,2719.8,3835.8,3281.1,712,0,147.5,TEST
atari:Ice Hockey,-13.9,-14.8,-18.9,-15.1,-9.5,-14.8,-1,-6.5,TEST
atari:James Bond,197.3,202.8,17.3,77.1,133.8,23.3,0,82,TEST
atari:Journey Escape,-8441,-14730.7,-9392.2,-13898.9,-8713.5,-18201.7,0,-10693.9,TEST
atari:Kangaroo,962.4,1622.1,457.9,256.4,481.7,44.4,200,498.4,TEST
atari:Krull,2823.3,3371.5,2350.9,2798.1,2901.3,1880.1,0,1690.1,TEST
atari:Kung-Fu Master,16416.2,19544,3207,8715.6,10361.1,488.2,0,578.4,TEST
atari:Montezuma’s Revenge,10.7,0.1,0,0.1,0.3,0.3,0,0,TEST
atari:Ms. Pac-Man,1537.2,1691.8,999.6,1070.8,1021.1,163.3,210,505.5,TEST
atari:Name This Game,1818.9,2386.8,1951,2029.8,2500.1,2012.3,3080,1854.3,TEST
atari:Pooyan,800.3,1018.9,402.7,1225.3,1210.9,501.1,30,540.8,TEST
atari:Pong,-19.2,-19,-19.6,-19.9,-19.9,-20.9,-21,-20.8,TEST
atari:Private Eye,81.9,100.7,-23,684.3,111.9,-754,0,1947.3,TEST
atari:Q*Bert,613.5,497.2,326.3,529.1,565.8,169,150,157.4,TEST
atari:River Raid,1708.9,1438,0,1904.3,1309.9,1608.6,1070,1455.5,TEST
atari:Road Runner,67.7,65.2,21.4,42,41,36.2,900,857.9,TEST
atari:Robotank,12.8,10.1,9.3,10.8,28.7,1.6,17,11.3,TEST
atari:Skiing,-1.1,-0.7,-0.1,0,0,0,0,0,TEST
atari:Star Gunner,850.2,1069.5,1002.2,722.9,769.3,638.1,600,509.8,TEST
atari:Tennis,-0.2,-0.1,-0.1,-0.1,-0.1,-24,0,-0.3,TEST
atari:Time Pilot,1728.2,2299.5,0,2429.2,3741.2,3458.8,500,718.7,TEST
atari:Tutankham,40.7,52.6,0,85.2,114.3,23.1,0,17.3,TEST
atari:Up and Down,3532.7,3351,2473.4,2475.1,3412.6,131.6,550,2962.9,TEST
atari:Venture,0,66,0,0,0,0,0,0,TEST
atari:Video Pinball,15046.8,12574.2,10779.5,9813.9,16871.3,20021.1,705,9527.9,TEST
atari:Wizard of Wor,1768.8,1981.3,935.6,945.5,1096.2,772.4,300,470.3,TEST
atari:Zaxxon,1392,2069.1,69.8,3365.1,304.3,0,0,2,TEST
classic:CartPole-v0,1000,0,0,0,0,0,0,-10,TEST
classic:CartPole-v1,1000,0,0,0,0,0,0,-1,TEST
